container_id,alert_triggered_time,serviced_time,pick_up_time_hrs,overflow
31592070-8560-11e9-b202-8461e11e69f0,2019-06-24 07:07:00+00:00,2019-06-24 10:49:25+00:00,3.7069444444444444,False
31592070-8560-11e9-b202-8461e11e69f0,2019-06-24 10:49:25+00:00,2019-06-24 10:56:55+00:00,0.125,False
31592070-8560-11e9-b202-8461e11e69f0,2019-06-24 10:56:55+00:00,2019-06-24 11:04:25+00:00,0.125,False
31592070-8560-11e9-b202-8461e11e69f0,2019-06-24 11:04:25+00:00,2019-06-24 11:11:55+00:00,0.125,False
8f0ac600-7cba-11e9-b502-a165d8be196d,2019-06-24 00:23:11+00:00,2019-06-24 18:14:42+00:00,17.85861111111111,True
8f0ac600-7cba-11e9-b502-a165d8be196d,2019-06-24 18:14:42+00:00,2019-06-24 18:22:12+00:00,0.125,True
8f0ac600-7cba-11e9-b502-a165d8be196d,2019-06-24 18:22:12+00:00,2019-06-24 18:29:42+00:00,0.125,True
8f0ac600-7cba-11e9-b502-a165d8be196d,2019-06-24 18:29:42+00:00,2019-06-24 18:37:12+00:00,0.125,True
b5cacaa0-8715-11e9-835d-bc2616efdd53,2019-06-26 06:00:50+00:00,2019-06-26 22:01:21+00:00,16.00861111111111,True
e2a9e950-9153-11e9-b83e-d30f60a1e30a,2019-06-24 11:19:45+00:00,2019-06-24 12:09:04+00:00,0.8219444444444445,False
e2a9e950-9153-11e9-b83e-d30f60a1e30a,2019-06-24 12:09:04+00:00,2019-06-24 20:31:34+00:00,8.375,False
77daacd0-80b0-11e9-b7d1-3cad36b1e2e0,2019-06-18 21:07:50+00:00,2019-06-18 22:36:39+00:00,1.4802777777777778,False
77daacd0-80b0-11e9-b7d1-3cad36b1e2e0,2019-06-18 22:36:39+00:00,2019-06-18 22:44:09+00:00,0.125,False
bb89dd00-7fea-11e9-b5fe-8e912c75b1e6,2019-06-23 09:58:52+00:00,2019-06-23 18:30:10+00:00,8.521666666666667,True
bb89dd00-7fea-11e9-b5fe-8e912c75b1e6,2019-06-23 18:30:10+00:00,2019-06-23 18:37:40+00:00,0.125,False
bb89dd00-7fea-11e9-b5fe-8e912c75b1e6,2019-06-23 18:37:40+00:00,2019-06-23 18:45:10+00:00,0.125,False
bb89dd00-7fea-11e9-b5fe-8e912c75b1e6,2019-06-23 18:45:10+00:00,2019-06-23 18:52:40+00:00,0.125,False
8a6fe110-7fef-11e9-8c8a-b2988ee5f724,2019-06-21 09:09:46+00:00,2019-06-21 09:17:16+00:00,0.125,False
8a6fe110-7fef-11e9-8c8a-b2988ee5f724,2019-06-21 09:17:16+00:00,2019-06-21 09:24:46+00:00,0.125,False
8a6fe110-7fef-11e9-8c8a-b2988ee5f724,2019-06-21 09:24:46+00:00,2019-06-21 09:32:16+00:00,0.125,False
8a6fe110-7fef-11e9-8c8a-b2988ee5f724,2019-06-21 09:32:16+00:00,2019-06-21 09:39:46+00:00,0.125,False
b92ab6b0-8c74-11e9-a670-d9f29fd7b836,2019-06-24 00:41:09+00:00,2019-06-24 08:18:39+00:00,7.625,True
b92ab6b0-8c74-11e9-a670-d9f29fd7b836,2019-06-24 08:18:39+00:00,2019-06-24 08:26:09+00:00,0.125,True
b92ab6b0-8c74-11e9-a670-d9f29fd7b836,2019-06-24 08:26:09+00:00,2019-06-24 08:33:39+00:00,0.125,True
b92ab6b0-8c74-11e9-a670-d9f29fd7b836,2019-06-24 08:33:39+00:00,2019-06-24 08:41:09+00:00,0.125,True
cd1fecb0-93a1-11e9-ad30-3c1ed2d8fffe,2019-06-23 04:21:15+00:00,2019-06-23 22:26:31+00:00,18.087777777777777,True
cd1fecb0-93a1-11e9-ad30-3c1ed2d8fffe,2019-06-23 22:26:31+00:00,2019-06-23 22:34:01+00:00,0.125,True
d3cd78d0-8496-11e9-9cd9-74bc1ee5f895,2019-06-24 00:24:50+00:00,2019-06-24 08:37:16+00:00,8.207222222222223,False
d3cd78d0-8496-11e9-9cd9-74bc1ee5f895,2019-06-24 08:37:16+00:00,2019-06-24 08:44:46+00:00,0.125,False
d3cd78d0-8496-11e9-9cd9-74bc1ee5f895,2019-06-24 08:44:46+00:00,2019-06-24 08:52:16+00:00,0.125,False
d3cd78d0-8496-11e9-9cd9-74bc1ee5f895,2019-06-24 08:52:16+00:00,2019-06-24 08:59:46+00:00,0.125,False
2c1cef50-855c-11e9-8d53-23cf004d6bb7,2019-06-24 02:13:52+00:00,2019-06-24 13:29:11+00:00,11.255277777777778,True
975a7230-6d27-11e9-af7a-2e1f98a5fcf7,2019-06-21 00:27:02+00:00,2019-06-21 16:34:23+00:00,16.1225,True
975a7230-6d27-11e9-af7a-2e1f98a5fcf7,2019-06-21 16:34:23+00:00,2019-06-21 16:41:53+00:00,0.125,True
975a7230-6d27-11e9-af7a-2e1f98a5fcf7,2019-06-21 16:41:53+00:00,2019-06-21 16:49:23+00:00,0.125,True
